word,visual_mean,visual_sd,visual_n,auditory_mean,auditory_sd,auditory_n,scale
diplôme,79.385,26.359,24,27.708,33.956,24,0-100_VAS
direction,59.875,34.773,25,34.808,35.834,27,0-100_VAS
directive,46.375,35.539,25,42.111,36.441,26,0-100_VAS
disciple,53.565,33.042,24,23.522,30.37,24,0-100_VAS
discipline,44.944,36.751,20,37.35,34.585,20,0-100_VAS
discorde,35.364,32.649,25,45.538,35.47,27,0-100_VAS
discrétion,44.964,34.068,25,32,32.858,26,0-100_VAS
discussion,47.769,34.435,24,65.75,38.234,24,0-100_VAS
disparition,46.125,36.097,24,33.5,36.639,24,0-100_VAS
disparu,58.25,35.575,23,36.261,33.254,23,0-100_VAS
dispensaire,35.13,34.968,24,18.417,30.561,24,0-100_VAS
disponibilité,35.364,34.357,24,23.609,32.79,24,0-100_VAS
dispositif,42.643,30.692,28,26.345,29.628,28,0-100_VAS
disposition,37.88,35.504,24,11.28,19.334,25,0-100_VAS
dispute,71.167,30.275,25,68.542,37.268,26,0-100_VAS
disque,77.042,23.658,24,56.25,37.172,24,0-100_VAS
disquette,82.8,25.99,25,31.846,34.477,26,0-100_VAS
dissertation,62.708,26.882,24,20.042,23.685,24,0-100_VAS
distance,61.174,36,23,22.667,29.851,23,0-100_VAS
distinction,36.4,33.625,20,34.1,34.876,20,0-100_VAS
distorsion,43.731,34.057,25,44.731,37.675,26,0-100_VAS
distraction,54.615,30.317,28,45.931,37.434,28,0-100_VAS
distribution,60.12,32.719,25,30.958,33.323,26,0-100_VAS
diva,71.444,25.356,28,47.759,37.329,28,0-100_VAS
diversité,62.231,33.197,25,31.192,40.618,27,0-100_VAS
divinité,51.333,38.07,23,35.391,36.444,23,0-100_VAS
division,46.036,33.616,25,22.778,27.063,27,0-100_VAS
divorce,55.174,41.538,24,40.375,38.76,24,0-100_VAS
dix,55.593,33.212,25,26.37,36.205,26,0-100_VAS
dièdre,9.28,20.491,25,10.185,22.599,27,0-100_VAS
docteur,83.107,21.859,25,32.038,35.155,26,0-100_VAS
doctrine,39.667,37.691,25,24.615,32.905,27,0-100_VAS
document,77.154,22.847,25,20.148,28.006,27,0-100_VAS
documentaire,59.478,34.371,23,47.565,40.134,23,0-100_VAS
